userid,ParticipantType,School,RHMSPrep,RHMSPost,RHMSChange,AOTPrep,AOTPost,AOTChange,beliefR,beliefJ,beliefE,DemographicsEducationType,DemographicsGender,DemographicsGrade,DemographicsIdentity,DemographicsPolitics,DemographicsReligous
AL218967,1,AL,5.125,#VALUE!,#VALUE!,4.153846154,3.230769231,-0.923076923,CRealisticPro,CantJudge,NoOpinion,GJ,M,11,J,R,M
AL221199,2,AL,4.875,#VALUE!,#VALUE!,4,3.230769231,-0.769230769,ANatPridePro,Traitor,NoOpinion,GJ,M,11,J,DK,S
AL222580,2,AL,3.25,#VALUE!,#VALUE!,3.692307692,3.230769231,-0.461538462,DExtremistNeg,CantJudge,Balanced,GJ,M,11,J,R,S
AL224157,2,AL,4.5,#VALUE!,#VALUE!,3.307692308,3.230769231,-0.076923077,CRealisticPro,CantJudge,Balanced,GJ,M,11,J,R,S
AL22427,2,AL,4.375,#VALUE!,#VALUE!,3.538461538,3.230769231,-0.307692308,DExtremistNeg,,,GJ,M,11,J,R,S
AL22433,2,AL,#VALUE!,#VALUE!,#VALUE!,3.230769231,3.230769231,0,,NotTraitor,,,,,,,
AL225536,2,AL,4.125,5.25,1.125,3.692307692,2.384615385,-1.307692308,FRealisticNeg,NotTraitor,Balanced,GJ,M,11,DK,DK,S
AL225908,2,AL,4,#VALUE!,#VALUE!,3.538461538,3.230769231,-0.307692308,BReligousPro,NotTraitor,Justify,GJ,M,11,J,R,M
AL226198,2,AL,3.875,#VALUE!,#VALUE!,4.076923077,3.230769231,-0.846153846,FRealisticNeg,NotTraitor,Balanced,GJ,M,11,J,C,S
AL227166,2,AL,4,#VALUE!,#VALUE!,4.307692308,3.230769231,-1.076923077,CRealisticPro,Traitor,Oppose,GJ,F,11,J,R,S
AL227637,2,AL,4.375,#VALUE!,#VALUE!,3.538461538,3.230769231,-0.307692308,CRealisticPro,NotTraitor,Oppose,GJ,F,11,J,R,M
AL232064,3,AL,1.625,#VALUE!,#VALUE!,3.307692308,3.230769231,-0.076923077,,,,GJ,F,7,J,VL,S
AL233418,3,AL,5.625,#VALUE!,#VALUE!,4.846153846,3.230769231,-1.615384615,ANatPridePro,Traitor,Oppose,GJ,M,11,J,C,S
AL233500,3,AL,4.625,#VALUE!,#VALUE!,4.769230769,3.230769231,-1.538461538,FRealisticNeg,NotTraitor,Balanced,GJ,M,11,J,DK,S
AL234038,3,AL,5,#VALUE!,#VALUE!,3.615384615,3.230769231,-0.384615385,ANatPridePro,Traitor,Oppose,GJ,F,11,J,C,S
AL236092,3,AL,4,#VALUE!,#VALUE!,4.461538462,3.230769231,-1.230769231,ANatPridePro,Traitor,Oppose,GJ,F,11,J,DK,S
AL236265,3,AL,5.125,#VALUE!,#VALUE!,3.538461538,3.230769231,-0.307692308,ANatPridePro,CantJudge,Oppose,GJ,M,11,J,R,S
AL236359,3,AL,3,#VALUE!,#VALUE!,4.384615385,3.230769231,-1.153846154,FRealisticNeg,NotTraitor,Balanced,GJ,M,11,J,C,S
AL239793,3,AL,4.375,#VALUE!,#VALUE!,4,3.230769231,-0.769230769,FRealisticNeg,NotTraitor,Oppose,GJ,M,11,J,C,S
AL239974,3,AL,2.75,#VALUE!,#VALUE!,3.153846154,3.230769231,0.076923077,ANatPridePro,NotTraitor,NoOpinion,GJ,M,11,DK,DK,S
AL241258,4,AL,4.5,#VALUE!,#VALUE!,3.615384615,3.230769231,-0.384615385,CRealisticPro,CantJudge,Balanced,GJ,F,11,J,C,S
AL241906,4,AL,4.375,#VALUE!,#VALUE!,4.230769231,3.230769231,-1,FRealisticNeg,CantJudge,Oppose,GJ,M,11,J,R,S
AL2426,4,AL,3.125,3.75,0.625,3.538461538,2.307692308,-1.230769231,CRealisticPro,CantJudge,Oppose,GJ,F,11,C,C,R
AL243050,4,AL,3.625,#VALUE!,#VALUE!,4.153846154,3.230769231,-0.923076923,FRealisticNeg,NotTraitor,Balanced,,M,11,J,DK,S
AL243474,4,AL,3.5,3.75,0.25,3.769230769,2.769230769,-1,ANatPridePro,CantJudge,NoOpinion,GJ,M,11,J,DK,M
AL247454,4,AL,5.125,#VALUE!,#VALUE!,4.153846154,3.230769231,-0.923076923,FRealisticNeg,CantJudge,Oppose,GJ,M,11,J,DK,S
AL247500,4,AL,3.5,3.75,0.25,4.307692308,3,-1.307692308,FRealisticNeg,CantJudge,Balanced,GJ,F,11,J,C,S
AL248782,4,AL,#VALUE!,#VALUE!,#VALUE!,3.230769231,3.230769231,0,,CantJudge,Oppose,,,,,,
AL249273,4,AL,4.875,#VALUE!,#VALUE!,4.076923077,3.230769231,-0.846153846,FRealisticNeg,CantJudge,NoOpinion,GJ,F,11,J,R,S
AL249890,4,AL,3.5,#VALUE!,#VALUE!,4.461538462,3.230769231,-1.230769231,ANatPridePro,Traitor,,GJ,M,11,J,DK,S
IA111636,1,IA,3.5,#VALUE!,#VALUE!,3.230769231,3.230769231,0,CRealisticPro,,,GJ,F,11,DK,C,S
IA112839,1,IA,4.5,3.75,-0.75,3.230769231,2.461538462,-0.769230769,CRealisticPro,,,GJ,M,11,J,C,S
IA114376,1,IA,4.5,4.75,0.25,3.230769231,3.076923077,-0.153846154,CRealisticPro,CantJudge,,GJ,F,11,DK,C,S
IA1147,1,IA,5.375,5.375,0,3.230769231,2.923076923,-0.307692308,DExtremistNeg,NotTraitor,,GJ,M,11,J,DK,M
IA117139,1,IA,3.125,4.375,1.25,3.230769231,2.846153846,-0.384615385,EReligousNeg,,,GJ,M,11,J,DK,S
IA117390,1,IA,3.125,3.375,0.25,3.230769231,3.461538462,0.230769231,FRealisticNeg,,Oppose,GJ,F,11,DK,C,S
IA118826,1,IA,4.625,4,-0.625,3.230769231,2.923076923,-0.307692308,CRealisticPro,NotTraitor,Oppose,GJ,F,11,J,C,S
IA119159,1,IA,#VALUE!,#VALUE!,#VALUE!,3.230769231,3.230769231,0,ANatPridePro,,,,,,,,
IA119376,1,IA,5.125,5.5,0.375,3.230769231,3.307692308,0.076923077,FRealisticNeg,NotTraitor,,GJ,F,11,DK,DK,S
IA12120,2,IA,4.875,#VALUE!,#VALUE!,3.230769231,3.230769231,0,,,,GJ,M,11,J,DK,S
IA121700,2,IA,4.125,4.625,0.5,3.230769231,2.846153846,-0.384615385,CRealisticPro,NotTraitor,,GJ,M,11,J,R,S
IA122215,2,IA,5.5,4.5,-1,3.230769231,3.384615385,0.153846154,FRealisticNeg,NotTraitor,Balanced,GJ,F,11,J,C,S
IA124653,2,IA,4,#VALUE!,#VALUE!,3.230769231,3.230769231,0,,,,GJ,F,11,J,R,M
IA126261,2,IA,5.625,#VALUE!,#VALUE!,3.230769231,3.230769231,0,,,,GJ,M,11,C,DK,M
IA126314,2,IA,6,6,0,3.230769231,2.230769231,-1,FRealisticNeg,,Oppose,MJR,M,11,J,R,S
IA126389,2,IA,3.75,3.25,-0.5,3.230769231,2.384615385,-0.846153846,ANatPridePro,CantJudge,,GJ,M,11,DK,C,S
IA127277,2,IA,4.75,5.125,0.375,3.230769231,3.384615385,0.153846154,FRealisticNeg,,Balanced,GJ,F,11,C,DK,S
IA127717,2,IA,4.75,4.5,-0.25,3.230769231,2.846153846,-0.384615385,FRealisticNeg,CantJudge,Balanced,GJ,M,11,J,DK,S
IA132695,3,IA,4.875,#VALUE!,#VALUE!,3.230769231,3.230769231,0,CRealisticPro,Traitor,,GJ,F,11,C,C,S
IA13536,3,IA,4.75,4.25,-0.5,3.230769231,3.076923077,-0.153846154,FRealisticNeg,Traitor,Balanced,GJ,F,11,DK,DK,S
IA135743,3,IA,4,4.875,0.875,3.230769231,3.230769231,0,CRealisticPro,NotTraitor,Balanced,GJ,M,11,C,C,S
IA136434,3,IA,4.75,4.375,-0.375,3.230769231,2.461538462,-0.769230769,ANatPridePro,Traitor,Balanced,GJ,M,11,J,R,M
IA136570,3,IA,4.5,4,-0.5,3.230769231,2.923076923,-0.307692308,DExtremistNeg,NotTraitor,,GJ,F,11,DK,C,S
IA138292,3,IA,4.875,#VALUE!,#VALUE!,3.230769231,3.461538462,0.230769231,EReligousNeg,NotTraitor,Oppose,GJ,F,11,,DK,
IA138643,3,IA,5.125,4.5,-0.625,3.230769231,3.461538462,0.230769231,ANatPridePro,CantJudge,Balanced,GJ,F,11,DK,C,S
IA13895,3,IA,5,5.375,0.375,3.230769231,2.769230769,-0.461538462,CRealisticPro,NotTraitor,Balanced,GJ,M,11,J,L,S
IA142934,4,IA,5.25,5.75,0.5,3.230769231,3.230769231,0,ANatPridePro,CantJudge,,GJ,F,10,C,L,S
IA143883,4,IA,5.75,5.875,0.125,3.230769231,2.615384615,-0.615384615,FRealisticNeg,NotTraitor,Balanced,GJ,F,11,J,C,S
IA144247,4,IA,4.75,4,-0.75,3.230769231,3.153846154,-0.076923077,CRealisticPro,Traitor,Balanced,GJ,F,11,DK,DK,S
IA145068,4,IA,5.25,5.375,0.125,3.230769231,2.923076923,-0.307692308,EReligousNeg,NotTraitor,,GJ,M,11,J,R,M
IA148099,4,IA,4.75,4.75,0,3.230769231,2.692307692,-0.538461538,FRealisticNeg,NotTraitor,Oppose,GJ,M,11,J,VR,S
IA148405,4,IA,5.625,5.25,-0.375,3.230769231,2.538461538,-0.692307692,CRealisticPro,NotTraitor,Oppose,GJ,F,11,J,C,S
IA1495,4,IA,4.375,5.25,0.875,3.230769231,2.615384615,-0.615384615,ANatPridePro,NotTraitor,Balanced,GJ,M,11,C,DK,S
IA212134,1,IA,3.375,#VALUE!,#VALUE!,3.230769231,3.230769231,0,BReligousPro,CantJudge,,,F,11,C,DK,S
IA213822,1,IA,5,#VALUE!,#VALUE!,3.230769231,3.230769231,0,FRealisticNeg,NotTraitor,NoOpinion,,M,11,C,DK,S
IA216234,1,IA,4.875,3.375,-1.5,3.230769231,3.230769231,0,EReligousNeg,,Balanced,GJ,F,11,C,C,S
IA218713,1,IA,4.75,5,0.25,3.230769231,3.230769231,0,FRealisticNeg,NotTraitor,Balanced,GJ,M,11,J,R,S
IA218847,1,IA,4,4.625,0.625,3.230769231,3.230769231,0,ANatPridePro,Traitor,Balanced,GJ,F,11,C,DK,S
IA218860,1,IA,5.25,4.5,-0.75,3.230769231,3.230769231,0,ANatPridePro,CantJudge,NoOpinion,GJ,F,11,DK,DK,S
IA22408,2,IA,5.25,5,-0.25,3.230769231,3.230769231,0,FRealisticNeg,CantJudge,,GJ,F,11,C,VR,S
IA225399,2,IA,5.125,4,-1.125,3.230769231,3.230769231,0,,NotTraitor,Oppose,GJ,M,11,DK,,S
IA226791,2,IA,3.875,3.5,-0.375,3.230769231,3.230769231,0,FRealisticNeg,Traitor,Balanced,GJ,F,11,J,DK,M
IA229468,2,IA,4.5,#VALUE!,#VALUE!,3.230769231,3.230769231,0,,NotTraitor,Balanced,GH,F,11,C,DK,S
IA229945,2,IA,3.375,3.25,-0.125,3.230769231,3.230769231,0,ANatPridePro,CantJudge,Balanced,GJ,F,11,C,DK,S
IA23257,3,IA,5,4.5,-0.5,3.230769231,3.230769231,0,,CantJudge,NoOpinion,GJ,F,11,C,DK,S
IA235886,3,IA,4.875,4.625,-0.25,3.230769231,3.230769231,0,FRealisticNeg,NotTraitor,Balanced,GJ,F,11,J,R,M
IA23703,3,IA,3.5,3.375,-0.125,3.230769231,3.230769231,0,FRealisticNeg,CantJudge,Balanced,GJ,F,11,J,R,S
IA237077,3,IA,5.25,#VALUE!,#VALUE!,3.230769231,3.230769231,0,,,Oppose,GJ,F,11,J,R,M
IA239550,3,IA,5.25,4.875,-0.375,3.230769231,3.230769231,0,ANatPridePro,NotTraitor,Balanced,GJ,F,11,J,L,S
IA243402,4,IA,2.25,3.5,1.25,3.230769231,3.230769231,0,ANatPridePro,Traitor,Oppose,GJ,F,11,J,C,S
IA243808,4,IA,5.125,4.75,-0.375,3.230769231,3.230769231,0,ANatPridePro,NotTraitor,Balanced,GJ,O,11,C,R,S
IA247486,4,IA,5.125,4.25,-0.875,3.230769231,3.230769231,0,EReligousNeg,CantJudge,Balanced,GJ,F,11,J,DK,S
IA24816,4,IA,4.125,5.125,1,3.230769231,3.230769231,0,,NotTraitor,NoOpinion,GJ,F,11,J,DK,S
IA248601,4,IA,4.25,3.5,-0.75,3.230769231,3.230769231,0,FRealisticNeg,CantJudge,Balanced,GJ,F,11,J,R,M
NR111300,1,NR,3.25,#VALUE!,#VALUE!,3.923076923,3.230769231,-0.692307692,,Traitor,Balanced,,,,,,
NR111352,1,NR,4.75,#VALUE!,#VALUE!,4.076923077,3.230769231,-0.846153846,,NotTraitor,Balanced,,,,,,
NR112800,1,NR,4.875,#VALUE!,#VALUE!,3.769230769,3.230769231,-0.538461538,,NotTraitor,Balanced,,,,,,
NR115421,1,NR,2.125,#VALUE!,#VALUE!,3.461538462,3.230769231,-0.230769231,,CantJudge,,,,,,,
NR115934,1,NR,4.75,#VALUE!,#VALUE!,4.384615385,3.230769231,-1.153846154,,,,,,,,,
NR116510,1,NR,5.125,#VALUE!,#VALUE!,2.076923077,3.230769231,1.153846154,,CantJudge,NoOpinion,,,,,,
NR121823,2,NR,4.625,#VALUE!,#VALUE!,3.307692308,3.230769231,-0.076923077,,Traitor,NoOpinion,,,,,,
NR125123,2,NR,5.125,#VALUE!,#VALUE!,3.076923077,3.230769231,0.153846154,,Traitor,Balanced,,,,,,
NR12581,2,NR,4.5,#VALUE!,#VALUE!,4.307692308,3.230769231,-1.076923077,,CantJudge,Balanced,,,,,,
NR12604,2,NR,4.375,#VALUE!,#VALUE!,3.846153846,3.230769231,-0.615384615,,NotTraitor,NoOpinion,,,,,,
NR126116,2,NR,4.5,#VALUE!,#VALUE!,3.384615385,3.230769231,-0.153846154,,CantJudge,Balanced,,,,,,
NR128556,2,NR,4.625,#VALUE!,#VALUE!,3.692307692,3.230769231,-0.461538462,,Traitor,Balanced,,,,,,
NR131128,3,NR,4.75,#VALUE!,#VALUE!,2.769230769,3.230769231,0.461538462,,CantJudge,Balanced,,,,,,
NR133037,3,NR,5.25,#VALUE!,#VALUE!,3.384615385,3.230769231,-0.153846154,,Traitor,Balanced,,,,,,
NR133426,3,NR,2.875,#VALUE!,#VALUE!,3.769230769,3.230769231,-0.538461538,,Traitor,Balanced,,,,,,
NR13449,3,NR,4.875,#VALUE!,#VALUE!,4.153846154,3.230769231,-0.923076923,,NotTraitor,Balanced,,,,,,
NR134627,3,NR,4,#VALUE!,#VALUE!,3.923076923,3.230769231,-0.692307692,,CantJudge,NoOpinion,,,,,,
NR134793,3,NR,5,#VALUE!,#VALUE!,2.692307692,3.230769231,0.538461538,,Traitor,Balanced,,,,,,
NR144520,4,NR,5.125,#VALUE!,#VALUE!,4.153846154,3.230769231,-0.923076923,,Traitor,Balanced,,,,,,
NR146451,4,NR,4.625,#VALUE!,#VALUE!,3.846153846,3.230769231,-0.615384615,,NotTraitor,Balanced,,,,,,
NR146930,4,NR,1.875,#VALUE!,#VALUE!,4.076923077,3.230769231,-0.846153846,,Traitor,Balanced,,,,,,
NR147897,4,NR,3.375,#VALUE!,#VALUE!,3.538461538,3.230769231,-0.307692308,,Traitor,Balanced,,,,,,
PH111052,1,PH,4,3.5,-0.5,4.076923077,3.076923077,-1,CRealisticPro,,,,,,,,
PH111172,1,PH,2.375,2.75,0.375,3.538461538,2.461538462,-1.076923077,CRealisticPro,CantJudge,Balanced,,,,,,
PH112020,1,PH,3.25,#VALUE!,#VALUE!,2.846153846,3.230769231,0.384615385,EReligousNeg,Traitor,Justify,,,,,,
PH112113,1,PH,#VALUE!,2,#VALUE!,2.923076923,2.615384615,-0.307692308,CRealisticPro,CantJudge,,,,,,,
PH112469,1,PH,3.875,3.625,-0.25,3.769230769,3.076923077,-0.692307692,FRealisticNeg,Traitor,NoOpinion,,,,,,
PH112908,1,PH,4.5,4.625,0.125,4.846153846,2.615384615,-2.230769231,ANatPridePro,Traitor,NoOpinion,,,,,,
PH112935,1,PH,4,3.125,-0.875,3.153846154,2.692307692,-0.461538462,CRealisticPro,CantJudge,,,,,,,
PH113257,1,PH,3.25,4.75,1.5,3.076923077,1.769230769,-1.307692308,EReligousNeg,Traitor,Justify,,,,,,
PH113622,1,PH,3,#VALUE!,#VALUE!,4.384615385,3.230769231,-1.153846154,FRealisticNeg,NotTraitor,NoOpinion,,,,,,
PH114060,1,PH,4.625,4.125,-0.5,3.615384615,2.769230769,-0.846153846,FRealisticNeg,NotTraitor,Balanced,,,,,,
PH115272,1,PH,2.5,4.25,1.75,3.769230769,2.769230769,-1,FRealisticNeg,CantJudge,,,,,,,
PH115643,1,PH,3,4.125,1.125,4.692307692,2.923076923,-1.769230769,CRealisticPro,CantJudge,Oppose,,,,,,
PH115712,1,PH,3.625,4.125,0.5,3.538461538,2.153846154,-1.384615385,ANatPridePro,NotTraitor,Justify,,,,,,
PH121103,2,PH,3.625,3.625,0,2.923076923,2.384615385,-0.538461538,FRealisticNeg,Traitor,NoOpinion,,,,,,
PH121881,2,PH,4.5,#VALUE!,#VALUE!,3.153846154,3.230769231,0.076923077,CRealisticPro,CantJudge,Oppose,,,,,,
PH12201,2,PH,2.5,3.875,1.375,3.384615385,2.923076923,-0.461538462,FRealisticNeg,CantJudge,Justify,,,,,,
PH123120,2,PH,4.375,4.125,-0.25,3.615384615,2.615384615,-1,FRealisticNeg,NotTraitor,NoOpinion,,,,,,
PH123152,2,PH,4.625,4.625,0,3.692307692,3,-0.692307692,CRealisticPro,Traitor,,,,,,,
PH123633,2,PH,3.5,3.5,0,4.153846154,2.923076923,-1.230769231,FRealisticNeg,CantJudge,Balanced,,,,,,
PH123892,2,PH,5.125,4.875,-0.25,3.384615385,2.538461538,-0.846153846,,CantJudge,Balanced,,,,,,
PH124671,2,PH,3.5,#VALUE!,#VALUE!,4.461538462,3.461538462,-1,ANatPridePro,CantJudge,NoOpinion,,,,,,
PH124901,2,PH,1.75,2.25,0.5,4.307692308,3,-1.307692308,DExtremistNeg,NotTraitor,Oppose,,,,,,
PH124989,2,PH,3,2.125,-0.875,3.230769231,2.153846154,-1.076923077,CRealisticPro,Traitor,,,,,,,
PH125433,2,PH,4.75,3.625,-1.125,2.384615385,2.153846154,-0.230769231,BReligousPro,,,,,,,,
PH126033,2,PH,#VALUE!,#VALUE!,#VALUE!,4.076923077,2.153846154,-1.923076923,FRealisticNeg,CantJudge,NoOpinion,,,,,,
PH231219,3,PH,5,4,-1,4.230769231,2.307692308,-1.923076923,CRealisticPro,CantJudge,,,,,,,
PH231637,3,PH,3.25,3.875,0.625,3.846153846,2,-1.846153846,FRealisticNeg,,,,,,,,
PH231979,3,PH,4.75,4.875,0.125,3.384615385,3,-0.384615385,FRealisticNeg,Traitor,Balanced,,,,,,
PH232228,3,PH,4.875,3.875,-1,3,2.461538462,-0.538461538,CRealisticPro,Traitor,Balanced,,,,,,
PH23272,3,PH,2.25,#VALUE!,#VALUE!,1.692307692,3.230769231,1.538461538,ANatPridePro,CantJudge,,,,,,,
PH232819,3,PH,4.875,4,-0.875,4.538461538,3.384615385,-1.153846154,FRealisticNeg,NotTraitor,Balanced,,,,,,
PH233877,3,PH,4.125,4.375,0.25,4.076923077,3.538461538,-0.538461538,CRealisticPro,Traitor,NoOpinion,,,,,,
PH235355,3,PH,4.375,4.5,0.125,2.769230769,2.538461538,-0.230769231,CRealisticPro,Traitor,NoOpinion,,,,,,
PH235809,3,PH,3.875,3.75,-0.125,3.230769231,2.923076923,-0.307692308,CRealisticPro,,,,,,,,
PH235830,3,PH,3.25,2.625,-0.625,3.461538462,2.538461538,-0.923076923,ANatPridePro,Traitor,NoOpinion,,,,,,
PH236328,3,PH,2.375,1.875,-0.5,4.615384615,4.076923077,-0.538461538,EReligousNeg,CantJudge,,,,,,,
PH236659,3,PH,4.125,#VALUE!,#VALUE!,3.769230769,3.230769231,-0.538461538,BReligousPro,CantJudge,NoOpinion,,,,,,
PH241681,4,PH,3.625,#VALUE!,#VALUE!,3.153846154,3.230769231,0.076923077,EReligousNeg,Traitor,Balanced,,,,,,
PH243071,4,PH,3.75,3.875,0.125,3.538461538,2.923076923,-0.615384615,ANatPridePro,Traitor,NoOpinion,,,,,,
PH243072,4,PH,3.75,2.75,-1,3.846153846,2.153846154,-1.692307692,ANatPridePro,Traitor,NoOpinion,,,,,,
PH24344,4,PH,5.375,5.375,0,4.384615385,3.307692308,-1.076923077,FRealisticNeg,CantJudge,NoOpinion,,,,,,
PH243832,4,PH,5.125,5.125,0,3.692307692,3.307692308,-0.384615385,DExtremistNeg,NotTraitor,NoOpinion,,,,,,
PH244236,4,PH,4.125,4.875,0.75,3.461538462,3,-0.461538462,ANatPridePro,Traitor,NoOpinion,,,,,,
PH244330,4,PH,5.5,5.875,0.375,3.923076923,2.846153846,-1.076923077,FRealisticNeg,CantJudge,NoOpinion,,,,,,
PH24503,4,PH,2.375,3.625,1.25,5.076923077,3.384615385,-1.692307692,CRealisticPro,CantJudge,NoOpinion,,,,,,
PH245669,4,PH,3.75,3.25,-0.5,3.153846154,2.538461538,-0.615384615,BReligousPro,Traitor,Balanced,,,,,,
PH246415,4,PH,4.875,3.875,-1,4.230769231,2.307692308,-1.923076923,ANatPridePro,CantJudge,Balanced,,,,,,
PH246799,4,PH,4.875,4.125,-0.75,2.384615385,2.076923077,-0.307692308,BReligousPro,CantJudge,,,,,,,
PH246943,4,PH,2.5,2.25,-0.25,3.846153846,2.384615385,-1.461538462,FRealisticNeg,,,,,,,,
PH247209,4,PH,4.5,#VALUE!,#VALUE!,3.538461538,3.230769231,-0.307692308,BReligousPro,CantJudge,NoOpinion,,,,,,
PH248703,4,PH,5.125,4.875,-0.25,4.538461538,2.923076923,-1.615384615,FRealisticNeg,NotTraitor,Balanced,,,,,,
PH248869,4,PH,5.125,4.375,-0.75,4.230769231,2.846153846,-1.384615385,EReligousNeg,CantJudge,,,,,,,
